Overall rank,Country or region,Score,total,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.769,2.1279999999999997,1.34,1.587,0.986,0.596,0.153,0.39299999999999996
2,Denmark,7.6,2.25,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41
3,Norway,7.553999999999999,2.2430000000000003,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341
4,Iceland,7.494,2.089,1.38,1.624,1.026,0.591,0.354,0.11800000000000001
5,Netherlands,7.4879999999999995,2.176,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298
6,Switzerland,7.48,2.23,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997
7,Sweden,7.343,2.223,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373
8,New Zealand,7.307,2.321,1.3030000000000002,1.557,1.026,0.585,0.33,0.38
9,Canada,7.278,2.216,1.365,1.505,1.0390000000000001,0.584,0.285,0.308
10,Austria,7.246,2.0180000000000002,1.376,1.475,1.016,0.532,0.244,0.226
11,Australia,7.228,2.215,1.3719999999999999,1.548,1.036,0.557,0.332,0.29
12,Costa Rica,7.167000000000001,1.758,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001
13,Israel,7.138999999999999,1.743,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999
14,Luxembourg,7.09,2.048,1.609,1.479,1.012,0.526,0.19399999999999998,0.316
15,United Kingdom,7.053999999999999,2.072,1.3330000000000002,1.538,0.996,0.45,0.348,0.278
16,Ireland,7.021,2.123,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31
17,Germany,6.985,2.008,1.3730000000000002,1.454,0.987,0.495,0.261,0.265
18,Belgium,6.922999999999999,1.829,1.3559999999999999,1.504,0.986,0.473,0.16,0.21
19,United States,6.892,1.7360000000000002,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128
20,Czech Republic,6.852,1.459,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004
21,United Arab Emirates,6.825,1.867,1.5030000000000001,1.31,0.825,0.598,0.262,0.182
22,Malta,6.726,2.089,1.3,1.52,0.9990000000000001,0.564,0.375,0.151
23,Mexico,6.595,1.441,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073
24,France,6.5920000000000005,1.775,1.324,1.472,1.045,0.436,0.111,0.183
25,Taiwan,6.446000000000001,1.604,1.368,1.43,0.914,0.35100000000000003,0.242,0.09699999999999999
26,Chile,6.444,1.5200000000000002,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994
27,Guatemala,6.436,1.5340000000000003,0.8,1.2690000000000001,0.746,0.535,0.175,0.078
28,Saudi Arabia,6.375,1.4460000000000002,1.403,1.357,0.795,0.439,0.08,0.132
29,Qatar,6.374,1.8130000000000002,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998
30,Spain,6.354,1.6560000000000001,1.286,1.484,1.062,0.36200000000000004,0.153,0.079
31,Panama,6.321000000000001,1.5890000000000002,1.149,1.442,0.91,0.516,0.109,0.054000000000000006
32,Brazil,6.3,1.3770000000000002,1.004,1.439,0.802,0.39,0.099,0.086
33,Uruguay,6.292999999999999,1.6909999999999998,1.124,1.465,0.8909999999999999,0.523,0.127,0.15
34,Singapore,6.2620000000000005,2.421,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996
35,El Salvador,6.252999999999999,1.3860000000000001,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001
36,Italy,6.223,1.4580000000000002,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03
37,Bahrain,6.199,1.772,1.3619999999999999,1.368,0.871,0.536,0.255,0.11
38,Slovakia,6.1979999999999995,1.3499999999999999,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999
39,Trinidad & Tobago,6.192,1.403,1.2309999999999999,1.4769999999999999,0.713,0.489,0.185,0.016
40,Poland,6.182,1.534,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05
41,Uzbekistan,6.1739999999999995,1.949,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24
42,Lithuania,6.149,1.194,1.238,1.515,0.818,0.29100000000000004,0.043,0.042
43,Colombia,6.125,1.444,0.985,1.41,0.841,0.47,0.099,0.034
44,Slovenia,6.117999999999999,1.718,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057
45,Nicaragua,6.105,1.597,0.6940000000000001,1.325,0.835,0.435,0.2,0.127
46,Kosovo,6.1,1.515,0.882,1.232,0.758,0.489,0.262,0.006
47,Argentina,6.086,1.468,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05
48,Romania,6.07,1.3749999999999998,1.162,1.232,0.825,0.462,0.083,0.005
49,Cyprus,6.046,1.6789999999999998,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995
50,Ecuador,6.028,1.579,0.912,1.3119999999999998,0.868,0.498,0.126,0.087
51,Kuwait,6.021,1.5399999999999998,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999
52,Thailand,6.007999999999999,1.772,1.05,1.409,0.828,0.557,0.359,0.027999999999999997
53,Latvia,5.94,1.215,1.187,1.465,0.812,0.264,0.075,0.064
54,South Korea,5.895,1.4260000000000002,1.301,1.219,1.036,0.159,0.175,0.055999999999999994
55,Estonia,5.893,1.6330000000000002,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161
56,Jamaica,5.89,1.456,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997
57,Mauritius,5.888,1.571,1.12,1.402,0.7979999999999999,0.498,0.215,0.06
58,Japan,5.886,1.742,1.327,1.419,1.088,0.445,0.069,0.14
59,Honduras,5.86,1.659,0.642,1.236,0.828,0.507,0.24600000000000002,0.078
60,Kazakhstan,5.809,1.381,1.173,1.508,0.7290000000000001,0.41,0.146,0.096
